Código,Nome,Preço,@Imagem
"137525,SEPARDOR PRATA 925  CORAÇÃO CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\137525-1.jpg"
"177881,BERLOQUE PRATA 925 CORAÇÃO COM ZIRCÔNIA,""R$ 139,80"",Imagem não encontrada"
"177881,BERLOQUE PRATA 925 CORAÇÃO COM ZIRCÔNIA,""R$ 139,80"",Imagem não encontrada"
"177881,BERLOQUE PRATA 925 CORAÇÃO COM ZIRCÔNIA,""R$ 139,80"",Imagem não encontrada"
"177881,BERLOQUE PRATA 925 CORAÇÃO COM ZIRCÔNIA,""R$ 139,80"",Imagem não encontrada"
"177881,BERLOQUE PRATA 925 CORAÇÃO COM ZIRCÔNIA,""R$ 139,80"",Imagem não encontrada"
"187343,BERLOQUE PRATA 925 SEPARADOR PATA CRAVEJADA,""R$ 139,80"",Imagem não encontrada"
"187343,BERLOQUE PRATA 925 SEPARADOR PATA CRAVEJADA,""R$ 139,80"",Imagem não encontrada"
"187343,BERLOQUE PRATA 925 SEPARADOR PATA CRAVEJADA,""R$ 139,80"",Imagem não encontrada"
"187343,BERLOQUE PRATA 925 SEPARADOR PATA CRAVEJADA,""R$ 139,80"",Imagem não encontrada"
"190161,BRINCO TRIO PRATA 925 CORAÇÃO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\190161-1.jpg"
"191833,BERLOQUE PRATA 925 TORRE EIFFEL E CÂMERA FOTOGRAFICA,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\191833-5.jpg"
"191939,BRINCO PRATA 925 PONTO DE LUZ COM DETALHE CORRENTE,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\191939-1.jpg"
"191977,BERLOQUE PRATA 925 TARTARUGA CRAVEJADA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\191977-1.jpg"
"191977,BERLOQUE PRATA 925 TARTARUGA CRAVEJADA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\191977-7.jpg"
"192239,PULSEIRA PRATA 925 PINGENTES PONTO DE LUZ,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\192239-1.jpg"
"192249,PULSEIRA PRATA 925 CORAÇÕES LISOS,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\192249-1.jpg"
"192300,COLAR PRATA 925 CORAÇÕES CRAVEJADOS,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\192300-1.jpg"
"192343,COLAR PRATA 925 LUAS E ESTRELAS,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\192343-1.jpg"
